scenario,algorithm,reward,alloc_A,alloc_B,alloc_C,alloc_D,alloc_E,alloc_F,WLS_rej_X1,WLS_rej_X2,Wald_FvsA,Wald_FvsB,Wald_FvsC,Wald_FvsD,Wald_FvsE,bias_ybar_A,bias_ybar_B,bias_ybar_C,bias_ybar_D,bias_ybar_E,bias_ybar_F,bias_beta0,bias_beta1,bias_beta2
H0,UR,0.300,0.167,0.167,0.167,0.167,0.167,0.167,0.051,0.050,0.049,0.050,0.051,0.050,0.050,-0.001,0.000,0.001,-0.001,0.000,0.000,0.000,0.000,0.000
H0,TS_flat,0.300,0.167,0.167,0.167,0.167,0.167,0.166,0.056,0.046,0.071,0.073,0.071,0.073,0.073,-0.063,-0.063,-0.063,-0.064,-0.062,-0.065,-0.021,-0.001,0.000
H0,TS_linear,0.300,0.248,0.247,0.005,0.005,0.248,0.247,0.047,0.049,0.043,0.039,0.000,0.000,0.034,-0.155,-0.156,0.000,0.003,-0.154,-0.158,-0.143,-0.002,0.000
H0,TSPostDiff(0.07),0.300,0.167,0.167,0.167,0.166,0.167,0.167,0.057,0.050,0.076,0.075,0.076,0.076,0.078,-0.062,-0.062,-0.062,-0.064,-0.063,-0.062,-0.021,0.000,0.000
H0,TSPostDiff(0.10),0.300,0.166,0.167,0.168,0.166,0.166,0.166,0.059,0.052,0.080,0.080,0.078,0.078,0.080,-0.061,-0.061,-0.060,-0.062,-0.062,-0.062,-0.019,0.000,0.000
H0,TSPostDiff(0.15),0.300,0.166,0.167,0.167,0.167,0.167,0.167,0.059,0.054,0.085,0.083,0.083,0.084,0.084,-0.058,-0.057,-0.056,-0.056,-0.057,-0.057,-0.017,0.000,0.000
H0,TSPostDiffLin(0.14),0.300,0.179,0.180,0.141,0.142,0.180,0.180,0.144,0.091,0.058,0.049,0.054,0.045,0.054,-0.071,-0.070,-0.059,-0.059,-0.070,-0.069,-0.068,0.001,0.000
H0,TSPostDiffLin(0.15),0.300,0.177,0.178,0.144,0.145,0.177,0.178,0.145,0.086,0.056,0.047,0.054,0.045,0.054,-0.064,-0.065,-0.056,-0.054,-0.063,-0.062,-0.062,0.001,0.001
H0,TSPostDiffLin(0.17),0.300,0.175,0.175,0.151,0.151,0.175,0.175,0.146,0.076,0.056,0.047,0.055,0.047,0.054,-0.054,-0.055,-0.046,-0.047,-0.054,-0.054,-0.052,0.000,0.000
H1,UR,0.500,0.167,0.167,0.167,0.167,0.167,0.167,0.802,0.632,0.888,0.355,0.665,0.125,0.356,-0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
H1,TS_flat,0.599,0.048,0.104,0.066,0.202,0.105,0.474,0.625,0.498,0.631,0.328,0.492,0.179,0.326,-0.067,-0.071,-0.069,-0.061,-0.069,-0.027,-0.034,0.014,0.005
H1,TS_linear,0.651,0.022,0.099,0.005,0.005,0.093,0.775,0.181,0.188,0.102,0.157,0.000,0.000,0.147,-0.142,-0.168,0.001,-0.003,-0.164,-0.043,-0.189,0.071,0.039
H1,TSPostDiff(0.07),0.595,0.049,0.109,0.069,0.206,0.109,0.458,0.643,0.510,0.651,0.349,0.521,0.198,0.355,-0.068,-0.069,-0.071,-0.060,-0.070,-0.026,-0.033,0.014,0.005
H1,TSPostDiff(0.10),0.592,0.051,0.113,0.071,0.209,0.113,0.443,0.662,0.524,0.670,0.369,0.542,0.200,0.375,-0.069,-0.069,-0.072,-0.056,-0.069,-0.024,-0.033,0.014,0.005
H1,TSPostDiff(0.15),0.585,0.053,0.123,0.077,0.217,0.123,0.408,0.695,0.544,0.705,0.411,0.586,0.211,0.411,-0.070,-0.066,-0.071,-0.051,-0.067,-0.022,-0.031,0.014,0.004
H1,TSPostDiffLin(0.14),0.600,0.039,0.188,0.035,0.175,0.095,0.468,0.577,0.648,0.303,0.452,0.161,0.119,0.240,-0.142,-0.092,-0.098,-0.044,-0.135,-0.020,-0.166,0.089,0.029
H1,TSPostDiffLin(0.15),0.594,0.043,0.197,0.039,0.186,0.095,0.440,0.620,0.646,0.334,0.460,0.182,0.127,0.244,-0.140,-0.082,-0.097,-0.040,-0.134,-0.018,-0.160,0.090,0.026
H1,TSPostDiffLin(0.17),0.583,0.051,0.212,0.048,0.203,0.097,0.389,0.687,0.649,0.406,0.477,0.232,0.137,0.250,-0.135,-0.067,-0.101,-0.033,-0.125,-0.016,-0.147,0.090,0.021
