Algorithm,Mean_Reward,Pow_X1_ait,Pow_X2_ait,beta_hat_1,beta_hat_2,Alloc_A,Alloc_B,Alloc_C,Alloc_D,Alloc_E,Alloc_F
UR,0.5,100.0,99.5,0.2006,0.1002,0.167,0.167,0.167,0.166,0.167,0.167
TS-linear,0.6782,13.8,14.7,0.2804,0.1438,0.006,0.048,0.001,0.001,0.045,0.898
AG-TS(R=0.005),0.6575,16.2,15.3,0.2277,0.1096,0.007,0.104,0.001,0.001,0.091,0.795
AG-TS(R=0.01),0.6756,17.7,15.8,0.271,0.1374,0.004,0.061,0.001,0.001,0.049,0.883
AG-TS(R=0.02),0.6833,15.2,12.8,0.2716,0.1409,0.005,0.036,0.001,0.001,0.036,0.922
AG-TS(R=0.05),0.6581,87.7,84.7,0.2195,0.1098,0.015,0.087,0.001,0.001,0.088,0.807
AG-TS(R=0.10),0.6166,99.6,99.6,0.2055,0.1029,0.047,0.159,0.001,0.001,0.16,0.632
AG-TS(R=0.15),0.5887,99.9,99.9,0.2025,0.1014,0.08,0.196,0.001,0.001,0.197,0.525
AG-TS(R=0.20),0.5704,100.0,100.0,0.2012,0.1006,0.106,0.216,0.001,0.001,0.216,0.46
AG-TS(R=0.30),0.5491,100.0,100.0,0.2004,0.1001,0.142,0.233,0.001,0.001,0.233,0.389
AG-TS(R=0.50),0.5301,100.0,100.0,0.2001,0.1,0.179,0.243,0.001,0.001,0.243,0.331
AG-TS(R=1.00),0.5151,100.0,100.0,0.2001,0.0999,0.212,0.248,0.001,0.001,0.248,0.289
LinUCB(3),0.674,78.1,82.0,0.2469,0.1245,0.006,0.057,0.001,0.001,0.056,0.877
LinUCB(7),0.6381,99.8,99.9,0.2096,0.1047,0.018,0.137,0.001,0.001,0.136,0.707
LinUCB(13),0.6022,100.0,100.0,0.2038,0.1019,0.047,0.197,0.001,0.001,0.196,0.557
