beta_1,Algorithm,Mean_Reward,Pow_X1_ait,Pow_X2_ait,Min_Eigenvalue,Alloc_Best_Arm,Alloc_X1_best
0.05,UR,0.4251,29.6,99.5,130.22,0.167,0.5
0.05,TS-linear,0.5252,3.5,16.8,10.17,0.682,0.718
0.05,AGTS+PD(P80),0.4319,25.6,99.5,124.67,0.193,0.513
0.05,AG-TS(R=0.60),0.4383,25.8,100.0,132.45,0.29,0.516
0.05,LinUCB(60),0.4404,24.3,100.0,131.89,0.296,0.519
0.075,UR,0.4376,56.2,99.5,130.22,0.167,0.5
0.075,TS-linear,0.5491,5.4,15.3,9.3,0.758,0.797
0.075,AGTS+PD(P80),0.4454,51.0,99.4,123.14,0.197,0.523
0.075,AG-TS(R=0.60),0.4518,51.8,100.0,131.33,0.295,0.524
0.075,LinUCB(60),0.4539,50.7,100.0,130.57,0.3,0.528
0.1,UR,0.4501,80.4,99.5,130.22,0.167,0.5
0.1,TS-linear,0.5743,7.9,14.5,8.58,0.808,0.85
0.1,AGTS+PD(P80),0.46,76.6,99.4,120.44,0.203,0.537
0.1,AG-TS(R=0.60),0.4657,77.5,100.0,130.14,0.299,0.532
0.1,LinUCB(60),0.4681,75.9,100.0,129.27,0.305,0.536
0.15,UR,0.475,98.8,99.5,130.22,0.167,0.5
0.15,TS-linear,0.6257,11.2,14.6,6.98,0.865,0.912
0.15,AGTS+PD(P80),0.4945,98.1,99.4,110.2,0.222,0.59
0.15,AG-TS(R=0.60),0.4947,98.3,100.0,127.68,0.308,0.548
0.15,LinUCB(60),0.4973,98.3,100.0,126.56,0.315,0.553
0.2,UR,0.5,100.0,99.5,130.22,0.167,0.5
0.2,TS-linear,0.6782,13.8,14.7,5.72,0.898,0.947
0.2,AGTS+PD(P80),0.5442,99.7,99.0,88.03,0.259,0.69
0.2,AG-TS(R=0.60),0.5252,100.0,100.0,125.09,0.317,0.564
0.2,LinUCB(60),0.529,100.0,100.0,123.02,0.325,0.572
0.3,UR,0.55,100.0,99.4,130.22,0.167,0.5
0.3,TS-linear,0.7817,19.9,16.7,4.02,0.925,0.977
0.3,AGTS+PD(P80),0.6765,99.8,97.7,33.36,0.336,0.901
0.3,AG-TS(R=0.60),0.5907,100.0,100.0,119.66,0.335,0.594
0.3,LinUCB(60),0.5956,100.0,100.0,116.58,0.342,0.605
0.4,UR,0.5999,100.0,99.4,130.22,0.167,0.5
0.4,TS-linear,0.883,27.1,17.2,3.05,0.931,0.988
0.4,AGTS+PD(P80),0.792,99.3,97.5,13.22,0.361,0.964
0.4,AG-TS(R=0.60),0.6617,100.0,100.0,113.9,0.351,0.623
0.4,LinUCB(60),0.6691,100.0,100.0,110.18,0.361,0.637
